acc,entry,gene,pname,any_kinase_in_name,protein_kinase
P00924,ENO1_YEAST,ENO1,Enolase 1 (EC 4.2.1.11) (2-phospho-D-glycerate hydro-lyase 1) (2-phosphoglycerate dehydratase 1),False,False
P02829,HSP82_YEAST,HSP82,ATP-dependent molecular chaperone HSP82 (82 kDa heat shock protein) (Heat shock protein Hsp90 heat-inducible isoform),False,False
P04050,RPB1_YEAST,RPO21,DNA-directed RNA polymerase II subunit RPB1 (RNA polymerase II subunit 1) (RNA polymerase II subunit B1) (EC 2.7.7.6) (DNA-directed RNA polymerase III largest subunit) (RNA polymerase II subunit B220),False,False
P06244,KAPA_YEAST,TPK1,cAMP-dependent protein kinase type 1 (PKA 1) (EC 2.7.11.11) (CDC25-suppressing protein kinase) (PK-25),True,True
P06782,SNF1_YEAST,SNF1,Carbon catabolite-derepressing protein kinase (EC 2.7.11.1) (Sucrose nonfermentating protein 1),True,True
P08018,PBS2_YEAST,PBS2,MAP kinase kinase PBS2 (EC 2.7.12.2) (Polymyxin B resistance protein 2) (Suppressor of fluoride sensitivity 4),True,False
P11792,SCH9_YEAST,SCH9,Serine/threonine-protein kinase SCH9 (EC 2.7.11.1),True,True
P11986,INO1_YEAST,INO1,Inositol-3-phosphate synthase (MIP synthase) (EC 5.5.1.4) (Myo-inositol 1-phosphate synthase) (IPS) (MI-1-P synthase),False,False
P12683,HMDH1_YEAST,HMG1,3-hydroxy-3-methylglutaryl-coenzyme A reductase 1 (HMG-CoA reductase 1) (EC 1.1.1.34),False,False
P12684,HMDH2_YEAST,HMG2,3-hydroxy-3-methylglutaryl-coenzyme A reductase 2 (HMG-CoA reductase 2) (EC 1.1.1.34),False,False
P12688,YPK1_YEAST,YPK1,Serine/threonine-protein kinase YPK1 (EC 2.7.11.1) (Sphingosine-like immunosuppressant resistant protein 2) (Yeast protein kinase 1),True,True
P12904,AAKG_YEAST,SNF4,5'-AMP-activated protein kinase subunit gamma (AMPK gamma) (AMPK subunit gamma) (Regulatory protein CAT3) (Sucrose non-fermenting protein 4),True,True
P13185,KIN1_YEAST,KIN1,Serine/threonine protein kinase KIN1 (EC 2.7.11.1),True,True
P16140,VATB_YEAST,VMA2,V-type proton ATPase subunit B (V-ATPase subunit B) (V-ATPase 57 kDa subunit) (Vacuolar proton pump subunit B),False,False
P16387,ODPA_YEAST,PDA1,"Pyruvate dehydrogenase E1 component subunit alpha, mitochondrial (EC 1.2.4.1) (Pyruvate dehydrogenase complex component E1 alpha) (PDHE1-A)",False,False
P20449,DBP5_YEAST,DBP5,ATP-dependent RNA helicase DBP5 (EC 3.6.4.13) (DEAD box protein 5) (Helicase CA5/6) (Ribonucleic acid-trafficking protein 8),False,False
P20604,PP11_YEAST,SIT4,Serine/threonine-protein phosphatase PP1-1 (EC 3.1.3.16),False,True
P21965,MCK1_YEAST,MCK1,Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase),True,True
P22082,SNF2_YEAST,SNF2,SWI/SNF chromatin-remodeling complex subunit SNF2 (EC 3.6.4.-) (ATP-dependent chromatin remodeler SNF2) (Regulatory protein GAM1) (Regulatory protein SWI2) (SWI/SNF complex component SNF2) (Transcription factor TYE3) (Transcription regulatory protein SNF2),False,False
P22204,DBF2_YEAST,DBF2,Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2),True,True
P23561,STE11_YEAST,STE11,Serine/threonine-protein kinase STE11 (EC 2.7.11.25),True,True
P25037,UBP1_YEAST,UBP1,Ubiquitin carboxyl-terminal hydrolase 1 (EC 3.4.19.12) (Deubiquitinating enzyme 1) (Ubiquitin thioesterase 1) (Ubiquitin-specific-processing protease 1),False,False
P25333,HAL4_YEAST,SAT4,Serine/threonine-protein kinase HAL4/SAT4 (EC 2.7.11.1) (Halotolerance protein 4),True,True
P32324,EF2_YEAST,EFT1; EFT2,Elongation factor 2 (EF-2) (EC 3.6.5.-) (Eukaryotic elongation factor 2) (eEF2) (Ribosomal translocase) (Translation elongation factor 2),False,False
P32328,DBF20_YEAST,DBF20,Serine/threonine-protein kinase DBF20 (EC 2.7.11.1),True,True
P32485,HOG1_YEAST,HOG1,Mitogen-activated protein kinase HOG1 (MAP kinase HOG1) (EC 2.7.11.24) (High osmolarity glycerol response protein 1),True,True
P32490,MKK1_YEAST,MKK1,MAP kinase kinase MKK1/SSP32 (EC 2.7.12.2),True,False
P32561,RPD3_YEAST,RPD3,Histone deacetylase RPD3 (EC 3.5.1.98) (Transcriptional regulatory protein RPD3),False,False
P32801,ELM1_YEAST,ELM1,Serine/threonine-protein kinase ELM1 (EC 2.7.11.1),True,True
P38953,RAD55_YEAST,RAD55,DNA repair protein RAD55,False,False
P43565,RIM15_YEAST,RIM15,Serine/threonine-protein kinase RIM15 (EC 2.7.11.1),True,True
P47116,PTK2_YEAST,PTK2,Serine/threonine-protein kinase PTK2/STK2 (EC 2.7.11.1),True,True
P50947,PHO23_YEAST,PHO23,Transcriptional regulatory protein PHO23,False,False
P53599,SSK2_YEAST,SSK2,MAP kinase kinase kinase SSK2 (EC 2.7.11.25) (Suppressor of sensor kinase 2),True,False
Q00772,SLT2_YEAST,SLT2,Mitogen-activated protein kinase SLT2/MPK1 (MAP kinase MPK1) (EC 2.7.11.24),True,True
Q03330,GCN5_YEAST,GCN5,Histone acetyltransferase GCN5 (EC 2.3.1.48) (Histone crotonyltransferase GCN5) (EC 2.3.1.-) (SAGA complex subunit GCN5),False,False
Q03497,STE20_YEAST,STE20,Serine/threonine-protein kinase STE20 (EC 2.7.11.1),True,True
Q03533,TDA1_YEAST,TDA1,Serine/threonine-protein kinase TDA1 (Topoisomerase I damage affected protein 1) (EC 2.7.11.1),True,True
Q03656,SKY1_YEAST,SKY1,Serine/threonine-protein kinase SKY1 (SRPK) (EC 2.7.11.1),True,True
Q04439,MYO5_YEAST,MYO5,Myosin-5 (Actin-dependent myosin-I MYO5) (Class I unconventional myosin MYO5) (Type I myosin MYO5),False,False
Q06385,VPS74_YEAST,VPS74,Vacuolar protein sorting-associated protein 74,False,False
Q08972,NEW1_YEAST,NEW1,[NU+] prion formation protein 1,False,False
Q12271,INP53_YEAST,INP53,"Polyphosphatidylinositol phosphatase INP53 (Suppressor of PMA1 protein 2) (Synaptojanin-like protein 3) [Includes: SAC1-like phosphoinositide phosphatase (EC 3.1.3.-); Phosphatidylinositol 4,5-bisphosphate 5-phosphatase (EC 3.1.3.36)]",False,False
Q12386,ARP8_YEAST,ARP8,Actin-like protein ARP8,False,False
Q12464,RUVB2_YEAST,RVB2,RuvB-like protein 2 (RUVBL2) (EC 3.6.4.12) (TIP49-homology protein 2) (TIP49b homolog),False,False
Q12222,YGK3_YEAST,YGK3,Glycogen synthase kinase-3 homolog YGK3 (EC 2.7.11.1),True,False
P37263,YC16_YEAST,,UPF0743 protein YCR087C-A,False,False
P50873,MRK1_YEAST,MRK1,Serine/threonine-protein kinase MRK1 (EC 2.7.11.1),True,True
