cohort,formula,converged,iterations,n_observations,n_clusters,log_likelihood,mcfadden_pseudo_r2,min_predicted_probability,max_predicted_probability,max_hat_leverage,max_abs_standardized_pearson_residual
exclude_annotation_coincident,y ~ logd,True,3,163,48,-112.72304774517539,0.001622970139707025,0.44673539876571305,0.552067734577409,0.05556815641639704,1.1423645001268445
exclude_annotation_coincident,y ~ logd + plddt + rsa,True,4,163,48,-110.82231080376428,0.01845761167993254,0.34486327895615,0.6563609317391801,0.09846395877616042,1.4019796494660566
exclude_annotation_coincident,y ~ logd + plddt + rsa + pae_pair_max,True,4,163,48,-110.54420569854014,0.020920761448295244,0.3197732956721099,0.6835122873502237,0.10819653637512013,1.544440440449584
exclude_annotation_coincident,y ~ logd + plddt + rsa + C(pmt_aa_wt),True,5,163,48,-107.99690518190917,0.043481953456736666,0.22781392116261984,0.8645440474130166,0.11286064465884735,2.6083143475894497
exclude_annotation_coincident,y ~ logd + plddt + rsa + log_n_annot + log_protein_length + C(pmt_aa_wt),True,5,163,48,-105.65859988601923,0.06419209519717872,0.13628236702693677,0.8720902414566043,0.15506425892268022,2.548196521928622
include_annotation_coincident,y ~ logd,True,4,166,50,-114.12760676264045,0.008020631601242445,0.4150361233781719,0.6687845692633426,0.07059502971147177,1.3168904062862223
include_annotation_coincident,y ~ logd + plddt + rsa,True,4,166,50,-112.34864722878366,0.023483070575121667,0.3442671705229278,0.6688475044963513,0.09188615834762202,1.4309679010082366
include_annotation_coincident,y ~ logd + plddt + rsa + pae_pair_max,True,4,166,50,-112.25796807728136,0.024271239625413443,0.34446834570560386,0.68081554141391,0.10940961345935307,1.4883228057807019
include_annotation_coincident,y ~ logd + plddt + rsa + C(pmt_aa_wt),True,5,166,50,-109.92318810110615,0.044564783245698236,0.27900657896307374,0.8581047936242095,0.1119221773065141,2.541125682111365
include_annotation_coincident,y ~ logd + plddt + rsa + log_n_annot + log_protein_length + C(pmt_aa_wt),True,5,166,50,-107.48818525731826,0.06572944840908435,0.1707838149003058,0.8849510854475869,0.15449825218644192,2.556772739817484
