cohort,pae_column,pae_threshold_A,site_plddt_floor,n_sites,n_proteins,n_positive,auc,auc_rank_low_to_high_within_cohort
exclude_annotation_coincident,pae_pair_max,5,0,37,20,20,0.48823529411764705,30.0
exclude_annotation_coincident,pae_pair_max,5,50,37,20,20,0.48823529411764705,30.0
exclude_annotation_coincident,pae_pair_max,5,70,35,20,18,0.48366013071895425,27.0
exclude_annotation_coincident,pae_pair_max,10,0,44,21,25,0.4357894736842105,4.0
exclude_annotation_coincident,pae_pair_max,10,50,43,20,24,0.42543859649122806,2.0
exclude_annotation_coincident,pae_pair_max,10,70,41,20,22,0.41626794258373206,1.0
exclude_annotation_coincident,pae_pair_max,15,0,55,23,30,0.52,62.0
exclude_annotation_coincident,pae_pair_max,15,50,53,21,28,0.51,59.0
exclude_annotation_coincident,pae_pair_max,15,70,49,21,25,0.4866666666666667,29.0
exclude_annotation_coincident,pae_pair_max,20,0,67,29,37,0.5063063063063064,53.0
exclude_annotation_coincident,pae_pair_max,20,50,62,25,34,0.47163865546218486,22.0
exclude_annotation_coincident,pae_pair_max,20,70,54,23,28,0.46153846153846156,13.0
exclude_annotation_coincident,pae_pair_max,25,0,81,31,44,0.5055282555282555,51.0
exclude_annotation_coincident,pae_pair_max,25,50,66,25,37,0.49207828518173347,39.0
exclude_annotation_coincident,pae_pair_max,25,70,56,23,29,0.46871008939974457,15.0
exclude_annotation_coincident,pae_pair_max,30,0,151,45,76,0.5096491228070176,57.0
exclude_annotation_coincident,pae_pair_max,30,50,79,31,43,0.48901808785529716,34.0
exclude_annotation_coincident,pae_pair_max,30,70,60,24,31,0.4593993325917686,8.0
exclude_annotation_coincident,pae_site_to_target,5,0,40,21,22,0.494949494949495,44.0
exclude_annotation_coincident,pae_site_to_target,5,50,40,21,22,0.494949494949495,44.0
exclude_annotation_coincident,pae_site_to_target,5,70,38,21,20,0.4888888888888889,33.0
exclude_annotation_coincident,pae_site_to_target,10,0,48,22,27,0.4585537918871252,7.0
exclude_annotation_coincident,pae_site_to_target,10,50,47,21,26,0.44871794871794873,6.0
exclude_annotation_coincident,pae_site_to_target,10,70,45,21,24,0.4384920634920635,5.0
exclude_annotation_coincident,pae_site_to_target,15,0,58,24,33,0.4727272727272727,24.0
exclude_annotation_coincident,pae_site_to_target,15,50,56,22,31,0.46064516129032257,12.0
exclude_annotation_coincident,pae_site_to_target,15,70,52,22,28,0.43452380952380953,3.0
exclude_annotation_coincident,pae_site_to_target,20,0,68,30,37,0.5004359197907585,46.0
exclude_annotation_coincident,pae_site_to_target,20,50,62,25,34,0.47163865546218486,22.0
exclude_annotation_coincident,pae_site_to_target,20,70,54,23,28,0.46153846153846156,13.0
exclude_annotation_coincident,pae_site_to_target,25,0,82,32,45,0.4942942942942943,43.0
exclude_annotation_coincident,pae_site_to_target,25,50,66,25,37,0.49207828518173347,39.0
exclude_annotation_coincident,pae_site_to_target,25,70,56,23,29,0.46871008939974457,15.0
exclude_annotation_coincident,pae_site_to_target,30,0,151,45,76,0.5096491228070176,57.0
exclude_annotation_coincident,pae_site_to_target,30,50,79,31,43,0.48901808785529716,34.0
exclude_annotation_coincident,pae_site_to_target,30,70,60,24,31,0.4593993325917686,8.0
exclude_annotation_coincident,pae_pair_mean,5,0,39,20,20,0.4921052631578947,41.0
exclude_annotation_coincident,pae_pair_mean,5,50,39,20,20,0.4921052631578947,41.0
exclude_annotation_coincident,pae_pair_mean,5,70,37,20,18,0.48830409356725146,32.0
exclude_annotation_coincident,pae_pair_mean,10,0,51,22,28,0.4891304347826087,38.0
exclude_annotation_coincident,pae_pair_mean,10,50,50,21,27,0.47987117552334946,26.0
exclude_annotation_coincident,pae_pair_mean,10,70,48,21,25,0.46956521739130436,19.0
exclude_annotation_coincident,pae_pair_mean,15,0,63,27,34,0.5294117647058824,68.0
exclude_annotation_coincident,pae_pair_mean,15,50,59,23,32,0.5011574074074074,47.0
exclude_annotation_coincident,pae_pair_mean,15,70,53,22,27,0.4843304843304843,28.0
exclude_annotation_coincident,pae_pair_mean,20,0,79,33,41,0.524390243902439,65.0
exclude_annotation_coincident,pae_pair_mean,20,50,68,27,37,0.5021795989537925,50.0
exclude_annotation_coincident,pae_pair_mean,20,70,56,23,29,0.46871008939974457,15.0
exclude_annotation_coincident,pae_pair_mean,25,0,99,36,52,0.5339607201309329,69.0
exclude_annotation_coincident,pae_pair_mean,25,50,70,28,38,0.5074013157894737,55.0
exclude_annotation_coincident,pae_pair_mean,25,70,57,24,29,0.47044334975369456,20.0
exclude_annotation_coincident,pae_pair_mean,30,0,163,48,79,0.5268233875828813,66.0
exclude_annotation_coincident,pae_pair_mean,30,50,79,31,43,0.48901808785529716,34.0
exclude_annotation_coincident,pae_pair_mean,30,70,60,24,31,0.4593993325917686,8.0
exclude_annotation_coincident,pae_target_to_site,5,0,45,22,23,0.5019762845849802,48.0
exclude_annotation_coincident,pae_target_to_site,5,50,45,22,23,0.5019762845849802,48.0
exclude_annotation_coincident,pae_target_to_site,5,70,42,21,20,0.5113636363636364,60.0
exclude_annotation_coincident,pae_target_to_site,10,0,57,26,30,0.5209876543209877,63.0
exclude_annotation_coincident,pae_target_to_site,10,50,54,23,28,0.5068681318681318,54.0
exclude_annotation_coincident,pae_target_to_site,10,70,49,21,25,0.47833333333333333,25.0
exclude_annotation_coincident,pae_target_to_site,15,0,74,31,38,0.5694444444444444,72.0
exclude_annotation_coincident,pae_target_to_site,15,50,64,26,33,0.5610948191593352,71.0
exclude_annotation_coincident,pae_target_to_site,15,70,53,22,26,0.5213675213675214,64.0
exclude_annotation_coincident,pae_target_to_site,20,0,90,33,50,0.517,61.0
exclude_annotation_coincident,pae_target_to_site,20,50,69,27,38,0.5059422750424448,52.0
exclude_annotation_coincident,pae_target_to_site,20,70,56,23,29,0.46871008939974457,15.0
exclude_annotation_coincident,pae_target_to_site,25,0,102,37,52,0.5511538461538461,70.0
exclude_annotation_coincident,pae_target_to_site,25,50,70,28,38,0.5074013157894737,55.0
exclude_annotation_coincident,pae_target_to_site,25,70,57,24,29,0.47044334975369456,20.0
exclude_annotation_coincident,pae_target_to_site,30,0,163,48,79,0.5268233875828813,66.0
exclude_annotation_coincident,pae_target_to_site,30,50,79,31,43,0.48901808785529716,34.0
exclude_annotation_coincident,pae_target_to_site,30,70,60,24,31,0.4593993325917686,8.0
include_annotation_coincident,pae_pair_max,5,0,40,22,23,0.5549872122762148,51.0
include_annotation_coincident,pae_pair_max,5,50,40,22,23,0.5549872122762148,51.0
include_annotation_coincident,pae_pair_max,5,70,38,22,21,0.5574229691876751,58.0
include_annotation_coincident,pae_pair_max,10,0,47,23,28,0.49624060150375937,4.0
include_annotation_coincident,pae_pair_max,10,50,46,22,27,0.48927875243664715,3.0
include_annotation_coincident,pae_pair_max,10,70,44,22,25,0.4863157894736842,1.0
include_annotation_coincident,pae_pair_max,15,0,58,25,33,0.5636363636363636,65.0
include_annotation_coincident,pae_pair_max,15,50,56,23,31,0.5574193548387096,57.0
include_annotation_coincident,pae_pair_max,15,70,52,23,28,0.5416666666666666,41.0
include_annotation_coincident,pae_pair_max,20,0,70,31,40,0.5433333333333333,43.0
include_annotation_coincident,pae_pair_max,20,50,65,27,37,0.5144787644787645,15.0
include_annotation_coincident,pae_pair_max,20,70,57,25,31,0.5136476426799007,13.0
include_annotation_coincident,pae_pair_max,25,0,84,33,47,0.5370902817711328,37.0
include_annotation_coincident,pae_pair_max,25,50,69,27,40,0.5301724137931034,32.0
include_annotation_coincident,pae_pair_max,25,70,59,25,32,0.5185185185185185,18.0
include_annotation_coincident,pae_pair_max,30,0,154,47,79,0.5282700421940928,30.0
include_annotation_coincident,pae_pair_max,30,50,82,33,46,0.5223429951690821,24.0
include_annotation_coincident,pae_pair_max,30,70,63,26,34,0.5070993914807302,7.0
include_annotation_coincident,pae_site_to_target,5,0,43,23,25,0.5555555555555556,53.0
include_annotation_coincident,pae_site_to_target,5,50,43,23,25,0.5555555555555556,53.0
include_annotation_coincident,pae_site_to_target,5,70,41,23,23,0.5555555555555556,53.0
include_annotation_coincident,pae_site_to_target,10,0,51,24,30,0.5126984126984127,12.0
include_annotation_coincident,pae_site_to_target,10,50,50,23,29,0.5057471264367817,6.0
include_annotation_coincident,pae_site_to_target,10,70,48,23,27,0.5008818342151675,5.0
include_annotation_coincident,pae_site_to_target,15,0,61,26,36,0.5166666666666667,17.0
include_annotation_coincident,pae_site_to_target,15,50,59,24,34,0.508235294117647,11.0
include_annotation_coincident,pae_site_to_target,15,70,55,24,31,0.489247311827957,2.0
include_annotation_coincident,pae_site_to_target,20,0,71,32,40,0.5379032258064517,38.0
include_annotation_coincident,pae_site_to_target,20,50,65,27,37,0.5144787644787645,15.0
include_annotation_coincident,pae_site_to_target,20,70,57,25,31,0.5136476426799007,13.0
include_annotation_coincident,pae_site_to_target,25,0,85,34,48,0.5259009009009009,28.0
include_annotation_coincident,pae_site_to_target,25,50,69,27,40,0.5301724137931034,32.0
include_annotation_coincident,pae_site_to_target,25,70,59,25,32,0.5185185185185185,18.0
include_annotation_coincident,pae_site_to_target,30,0,154,47,79,0.5282700421940928,30.0
include_annotation_coincident,pae_site_to_target,30,50,82,33,46,0.5223429951690821,24.0
include_annotation_coincident,pae_site_to_target,30,70,63,26,34,0.5070993914807302,7.0
include_annotation_coincident,pae_pair_mean,5,0,42,22,23,0.5583524027459954,59.0
include_annotation_coincident,pae_pair_mean,5,50,42,22,23,0.5583524027459954,59.0
include_annotation_coincident,pae_pair_mean,5,70,40,22,21,0.5614035087719298,64.0
include_annotation_coincident,pae_pair_mean,10,0,54,24,31,0.5385694249649369,39.0
include_annotation_coincident,pae_pair_mean,10,50,53,23,30,0.5318840579710145,34.0
include_annotation_coincident,pae_pair_mean,10,70,51,23,28,0.5263975155279503,29.0
include_annotation_coincident,pae_pair_mean,15,0,66,29,37,0.5675675675675675,67.0
include_annotation_coincident,pae_pair_mean,15,50,62,25,35,0.5439153439153439,46.0
include_annotation_coincident,pae_pair_mean,15,70,56,24,30,0.5358974358974359,36.0
include_annotation_coincident,pae_pair_mean,20,0,82,35,44,0.5568181818181818,56.0
include_annotation_coincident,pae_pair_mean,20,50,71,29,40,0.5395161290322581,40.0
include_annotation_coincident,pae_pair_mean,20,70,59,25,32,0.5185185185185185,18.0
include_annotation_coincident,pae_pair_mean,25,0,102,38,55,0.5593810444874274,61.0
include_annotation_coincident,pae_pair_mean,25,50,73,30,41,0.5434451219512195,44.0
include_annotation_coincident,pae_pair_mean,25,70,60,26,32,0.5200892857142857,22.0
include_annotation_coincident,pae_pair_mean,30,0,166,50,82,0.5441347270615563,47.0
include_annotation_coincident,pae_pair_mean,30,50,82,33,46,0.5223429951690821,24.0
include_annotation_coincident,pae_pair_mean,30,70,63,26,34,0.5070993914807302,7.0
include_annotation_coincident,pae_target_to_site,5,0,48,24,26,0.5594405594405595,62.0
include_annotation_coincident,pae_target_to_site,5,50,48,24,26,0.5594405594405595,62.0
include_annotation_coincident,pae_target_to_site,5,70,45,23,23,0.575098814229249,69.0
include_annotation_coincident,pae_target_to_site,10,0,60,28,33,0.5645342312008979,66.0
include_annotation_coincident,pae_target_to_site,10,50,57,25,31,0.5545905707196029,50.0
include_annotation_coincident,pae_target_to_site,10,70,52,23,28,0.5342261904761905,35.0
include_annotation_coincident,pae_target_to_site,15,0,77,33,41,0.6009485094850948,72.0
include_annotation_coincident,pae_target_to_site,15,50,67,28,36,0.5976702508960573,71.0
include_annotation_coincident,pae_target_to_site,15,70,56,24,29,0.5708812260536399,68.0
include_annotation_coincident,pae_target_to_site,20,0,93,35,53,0.5443396226415095,49.0
include_annotation_coincident,pae_target_to_site,20,50,72,29,41,0.5420928402832416,42.0
include_annotation_coincident,pae_target_to_site,20,70,59,25,32,0.5185185185185185,18.0
include_annotation_coincident,pae_target_to_site,25,0,105,39,55,0.5756363636363636,70.0
include_annotation_coincident,pae_target_to_site,25,50,73,30,41,0.5434451219512195,44.0
include_annotation_coincident,pae_target_to_site,25,70,60,26,32,0.5200892857142857,22.0
include_annotation_coincident,pae_target_to_site,30,0,166,50,82,0.5441347270615563,47.0
include_annotation_coincident,pae_target_to_site,30,50,82,33,46,0.5223429951690821,24.0
include_annotation_coincident,pae_target_to_site,30,70,63,26,34,0.5070993914807302,7.0
legacy_158,pae_pair_max,5,0,35,20,18,0.477124183006536,30.0
legacy_158,pae_pair_max,5,50,35,20,18,0.477124183006536,30.0
legacy_158,pae_pair_max,5,70,34,19,17,0.4740484429065744,27.0
legacy_158,pae_pair_max,10,0,42,21,23,0.4233409610983982,3.0
legacy_158,pae_pair_max,10,50,41,20,22,0.41148325358851673,2.0
legacy_158,pae_pair_max,10,70,40,19,21,0.40601503759398494,1.0
legacy_158,pae_pair_max,15,0,52,22,27,0.5066666666666667,62.0
legacy_158,pae_pair_max,15,50,51,21,26,0.4969230769230769,57.0
legacy_158,pae_pair_max,15,70,48,20,24,0.4774305555555556,32.0
legacy_158,pae_pair_max,20,0,64,29,34,0.4892156862745098,51.0
legacy_158,pae_pair_max,20,50,60,25,32,0.4564732142857143,16.0
legacy_158,pae_pair_max,20,70,53,22,27,0.4515669515669516,13.0
legacy_158,pae_pair_max,25,0,78,31,41,0.4897824653922215,52.0
legacy_158,pae_pair_max,25,50,64,25,35,0.47881773399014776,34.0
legacy_158,pae_pair_max,25,70,55,22,28,0.458994708994709,18.0
legacy_158,pae_pair_max,30,0,146,45,71,0.5047887323943662,59.0
legacy_158,pae_pair_max,30,50,76,31,40,0.48680555555555555,43.0
legacy_158,pae_pair_max,30,70,59,23,30,0.4494252873563218,9.0
legacy_158,pae_site_to_target,5,0,38,21,20,0.48333333333333334,40.0
legacy_158,pae_site_to_target,5,50,38,21,20,0.48333333333333334,40.0
legacy_158,pae_site_to_target,5,70,37,20,19,0.47953216374269003,36.0
legacy_158,pae_site_to_target,10,0,46,22,25,0.44571428571428573,8.0
legacy_158,pae_site_to_target,10,50,45,21,24,0.43452380952380953,6.0
legacy_158,pae_site_to_target,10,70,44,20,23,0.42857142857142855,5.0
legacy_158,pae_site_to_target,15,0,55,23,30,0.456,15.0
legacy_158,pae_site_to_target,15,50,54,22,29,0.44551724137931037,7.0
legacy_158,pae_site_to_target,15,70,51,21,27,0.4243827160493827,4.0
legacy_158,pae_site_to_target,20,0,65,30,34,0.4838709677419355,42.0
legacy_158,pae_site_to_target,20,50,60,25,32,0.4564732142857143,16.0
legacy_158,pae_site_to_target,20,70,53,22,27,0.4515669515669516,13.0
legacy_158,pae_site_to_target,25,0,79,32,42,0.47812097812097815,33.0
legacy_158,pae_site_to_target,25,50,64,25,35,0.47881773399014776,34.0
legacy_158,pae_site_to_target,25,70,55,22,28,0.458994708994709,18.0
legacy_158,pae_site_to_target,30,0,146,45,71,0.5047887323943662,59.0
legacy_158,pae_site_to_target,30,50,76,31,40,0.48680555555555555,43.0
legacy_158,pae_site_to_target,30,70,59,23,30,0.4494252873563218,9.0
legacy_158,pae_pair_mean,5,0,37,20,18,0.4824561403508772,38.0
legacy_158,pae_pair_mean,5,50,37,20,18,0.4824561403508772,38.0
legacy_158,pae_pair_mean,5,70,36,19,17,0.47987616099071206,37.0
legacy_158,pae_pair_mean,10,0,49,22,26,0.4765886287625418,29.0
