rule,threshold_k,arm,n,positives,negatives,n_proteins,n_proteins_with_positive,nominal_draws,seed,auc,ci_low,ci_high,retained_draws,interval_reported,note
avg,1,primary_exclude_annotation_coincident,163,79,84,48,35,20000,20260728,0.5268233875828813,0.4161064593848292,0.6305511618234994,20000,True,
avg,1,inclusive_sensitivity,166,82,84,50,37,20000,20260728,0.5441347270615563,0.43452129948364887,0.6476594658373781,20000,True,
avg,2,primary_exclude_annotation_coincident,163,58,105,48,32,20000,20260728,0.5499178981937602,0.4484413548821244,0.6451026002506266,20000,True,
avg,2,inclusive_sensitivity,166,58,108,50,32,20000,20260728,0.5346424010217113,0.43255087515018353,0.6295195445843094,20000,True,
avg,3,primary_exclude_annotation_coincident,163,47,116,48,30,20000,20260728,0.5630961115187088,0.4448592691740134,0.6719972173402922,20000,True,
avg,3,inclusive_sensitivity,166,47,119,50,30,20000,20260728,0.5489004112283211,0.43255985261646734,0.6577137625721191,20000,True,
any,1,primary_exclude_annotation_coincident,163,79,84,48,35,20000,20260728,0.5268233875828813,0.4161064593848292,0.6305511618234994,20000,True,
any,1,inclusive_sensitivity,166,82,84,50,37,20000,20260728,0.5441347270615563,0.43452129948364887,0.6476594658373781,20000,True,
any,2,primary_exclude_annotation_coincident,163,58,105,48,32,20000,20260728,0.5499178981937602,0.4484413548821244,0.6451026002506266,20000,True,
any,2,inclusive_sensitivity,166,58,108,50,32,20000,20260728,0.5346424010217113,0.43255087515018353,0.6295195445843094,20000,True,
any,3,primary_exclude_annotation_coincident,163,47,116,48,30,20000,20260728,0.5630961115187088,0.4448592691740134,0.6719972173402922,20000,True,
any,3,inclusive_sensitivity,166,47,119,50,30,20000,20260728,0.5489004112283211,0.43255985261646734,0.6577137625721191,20000,True,
all,1,primary_exclude_annotation_coincident,163,78,85,48,35,20000,20260728,0.5352941176470588,0.4266843211825955,0.6376527461963654,20000,True,
all,1,inclusive_sensitivity,166,81,85,50,37,20000,20260728,0.5525054466230936,0.44326843819090644,0.6549979494979254,20000,True,
all,2,primary_exclude_annotation_coincident,163,57,106,48,32,20000,20260728,0.5595829195630586,0.46093697355121294,0.6515911719559135,20000,True,
all,2,inclusive_sensitivity,166,57,109,50,32,20000,20260728,0.5441815548044423,0.4446473907001561,0.6366303696303696,20000,True,
all,3,primary_exclude_annotation_coincident,163,46,117,48,30,20000,20260728,0.5743218134522482,0.4605727452271231,0.6795882959859397,20000,True,
all,3,inclusive_sensitivity,166,46,120,50,30,20000,20260728,0.5599637681159421,0.4474193773788092,0.6650079307531949,20000,True,
