acc,n_sites,n_positive,n_negative,positive_negative_pairs,within_protein_auc
O15047,3,1,2,2,0.5
O75151,3,1,2,2,0.0
O95251,2,1,1,1,0.0
O96013,4,1,3,3,0.6666666666666666
O96028,6,1,5,5,0.2
P04406,3,1,2,2,0.5
P06239,8,2,6,12,1.0
P07437,6,3,3,9,1.0
P11388,5,1,4,4,0.25
P14618,4,1,3,3,0.3333333333333333
P23634,2,1,1,1,0.0
P31751,2,1,1,1,0.0
P35251,2,1,1,1,0.0
P45985,4,1,3,3,0.0
P46531,4,1,3,3,0.3333333333333333
P52333,2,1,1,1,1.0
P78368,2,1,1,1,1.0
Q01167,2,1,1,1,1.0
Q12851,2,1,1,1,0.0
Q13370,3,1,2,2,0.5
Q16512,3,1,2,2,1.0
Q2M2I8,5,1,4,4,0.0
Q66K64,2,1,1,1,0.0
Q6GQQ9,3,2,1,2,1.0
Q8TD19,2,1,1,1,0.0
Q92794,2,1,1,1,0.0
Q92994,2,1,1,1,1.0
Q96RL1,3,1,2,2,1.0
Q99741,3,1,2,2,1.0
Q9BZ72,3,1,2,2,1.0
Q9C0C9,4,1,3,3,0.3333333333333333
Q9P275,6,1,5,5,1.0
Q9UBC2,5,1,4,4,1.0
Q9ULC8,2,1,1,1,1.0
Q9UN37,3,1,2,2,0.5
Q9UPU5,6,1,5,5,0.8
Q9Y2K6,5,1,4,4,1.0
Q9Y572,2,1,1,1,0.0
Q9Y5P4,2,1,1,1,0.0
