acc,n_sites,n_positive,n_negative,positive_negative_pairs,within_protein_auc
P00924,4,1,3,3,0.3333333333333333
P02829,6,3,3,9,0.2222222222222222
P06782,5,4,1,4,0.75
P11986,4,2,2,4,0.5
P12683,4,3,1,3,0.6666666666666666
P12684,2,1,1,1,0.0
P13185,2,1,1,1,0.0
P16140,12,6,6,36,0.7222222222222222
P16387,2,1,1,1,0.0
P21965,3,1,2,2,1.0
P23561,4,2,2,4,1.0
P32490,7,5,2,10,1.0
P32561,5,2,3,6,0.3333333333333333
P37263,4,1,3,3,0.3333333333333333
P38953,2,1,1,1,1.0
P43565,3,2,1,2,0.0
P47116,7,2,5,10,0.4
P50873,3,2,1,2,1.0
P53599,4,2,2,4,0.0
Q00772,8,4,4,16,0.875
Q03533,3,1,2,2,0.5
Q03656,15,5,10,50,0.3
Q06385,3,2,1,2,0.5
